"issueName","issueNum","seriesName","releaseDate","imageURL","issueID"
"Worldwide & The Last Time","1","Amazing Spider-Man Vol 4","October 7, 2015","http://vignette1.wikia.nocookie.net/marveldatabase/images/e/e9/Amazing_Spider-Man_Vol_4_1.jpg","0"
"Water Proof","2","Amazing Spider-Man Vol 4","October 21, 2015","http://vignette4.wikia.nocookie.net/marveldatabase/images/d/d3/Amazing_Spider-Man_Vol_4_2.jpg","1"
"Friendly Fire","3","Amazing Spider-Man Vol 4","November 4, 2015","http://vignette4.wikia.nocookie.net/marveldatabase/images/8/8b/Amazing_Spider-Man_Vol_4_3.jpg","2"
"High Priority","4","Amazing Spider-Man Vol 4","December 9, 2015","http://vignette1.wikia.nocookie.net/marveldatabase/images/5/56/Amazing_Spider-Man_Vol_4_4.jpg","3"
"Set in Stone","5","Amazing Spider-Man Vol 4","December 23, 2015","http://vignette2.wikia.nocookie.net/marveldatabase/images/5/51/Amazing_Spider-Man_Vol_4_5.jpg","4"
"The Dark Kingdom - Part 1: Turnabout","6","Amazing Spider-Man Vol 4","December 30, 2015","http://vignette3.wikia.nocookie.net/marveldatabase/images/2/26/Amazing_Spider-Man_Vol_4_6.jpg","5"
"The Dark Kingdom - Part 2: Opposing Forces","7","Amazing Spider-Man Vol 4","February 3, 2016","http://vignette2.wikia.nocookie.net/marveldatabase/images/3/3a/Amazing_Spider-Man_Vol_4_7.jpg","6"
"The Dark Kingdom - Part 3: Black & White","8","Amazing Spider-Man Vol 4","February 17, 2016","http://vignette2.wikia.nocookie.net/marveldatabase/images/0/08/Amazing_Spider-Man_Vol_4_8.jpg","7"
"Scorpio Rising - Part 1: One-Way Trip","9","Amazing Spider-Man Vol 4","March 9, 2016","http://vignette2.wikia.nocookie.net/marveldatabase/images/5/52/Amazing_Spider-Man_Vol_4_9.jpg","8"
"Scorpio Rising - Part 2: Power Play","10","Amazing Spider-Man Vol 4","April 13, 2016","http://vignette3.wikia.nocookie.net/marveldatabase/images/e/e8/Amazing_Spider-Man_Vol_4_10.jpg","9"
"Scorpio Rising - Part 3: Signs From Above","11","Amazing Spider-Man Vol 4","April 27, 2016","http://vignette2.wikia.nocookie.net/marveldatabase/images/8/86/Amazing_Spider-Man_Vol_4_11.jpg","10"
